GISPROPNUM,COMMUNITYB,COUNCILDIS,PRECINCT,ZIPCODE,SubZnName,DIMENSIONS,FIELD_LIGH,FIELD_NUMB,NAME,SURFACE_TY,Zone_Name,Frisbee,AdultBaseb,AdultSoftb,AdultFootb,Youthfootb,NonRegulat,LLBaseb13a,LLBaseb12a,TBall,LLSoftball,Kickball,Cricket,Tennis,Basketball,Hockey,TrackandFi,Lacrosse,Handball,Volleyball,Netball,Bocce,Rugby,FlagFootba,Wheelchair
B001,301,33,94,11222,Basketball-01,Full Court,No,1,,Asphalt,American Playground,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
B001,301,33,94,11222,Basketball-02,Full Court,No,2,,Asphalt,American Playground,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
B001,301,33,94,11222,Handball-02,Handball,No,2,,Asphalt,American Playground,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
B001,301,33,94,11222,Handball-01,Handball,No,1,,Asphalt,American Playground,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
B007,311,47,62,11214,Softball-03,"60ft base path, 150-200ft fence",No,3,,Natural,Bensonhurst Park,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Softball-02,"60ft base path, 150-200ft fence",No,2,,Asphalt,Bensonhurst Park,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Softball-01,"60ft base path, 150-200ft fence",No,1,,Natural,Bensonhurst Park,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Basketball-04,Full Court,No,4,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Basketball-01,Full Court,No,1,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Basketball-03,Half Court,No,3,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Basketball-02,Half Court,No,2,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Football-01,45-146ft W x 75-294ft L,No,1,,Natural,Bensonhurst Park,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
B007,311,47,62,11214,Handball-04,Handball,No,4,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
B007,311,47,62,11214,Handball-05,Handball,No,5,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
B007,311,47,62,11214,Handball-02,Handball,No,2,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
B007,311,47,62,11214,Handball-06,Handball,No,6,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
B007,311,47,62,11214,Handball-01,Handball,No,1,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
B007,311,47,62,11214,Handball-03,Handball,No,3,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
B007,311,47,62,11214,Tennis-04,Tennis,No,4,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Tennis-07,Tennis,No,7,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Tennis-01,Tennis,No,1,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Tennis-02,Tennis,No,2,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Tennis-03,Tennis,No,3,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Tennis-06,Tennis,No,6,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Tennis-08,Tennis,No,8,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
B007,311,47,62,11214,Tennis-05,Tennis,No,5,,Asphalt,Bensonhurst Park,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
B008,316,41,73,11212,Betsy Head Memorial Playgound-Softball-01,"60ft base path, 150-200ft fence",No,1,Betsy Head Memorial Playgound,Asphalt,Betsy Head Park,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
